"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","mitotic nuclear division","67/802","313/21338",0.21405750798722,5.69521085465251,16.5369419537858,8.89670926731713e-32,4.43856825346452e-28,4.03536002451258e-28,"MKI67/MYBL2/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/ANLN/BUB1B/KIF23/UBE2C/DLGAP5/KIFC1/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/KIF4A/SMC4/KIF11/CDK1/BORA/TPX2/ANAPC11/KNL1/GEN1/PKMYT1/NCAPG2/TRIP13/NCAPH/NCAPH2/RCC1/CHEK1/KIF15/KIF20B/KIF2C/KIF18B/CDCA8/AURKA/PSRC1/CENPI/KLHDC8B/MAD2L1/CDCA2/SPAG5/TTK/CDT1/NCAPD2/NEK2/RACGAP1/SMC2/XRCC3/SPC25/BUB1/SKA1/CENPK/PHIP/BIRC5/IL1B/KNSTRN/SKA3/CDC25C",67
"GO:0000070","mitotic sister chromatid segregation","55/802","212/21338",0.259433962264151,6.90249611819508,17.0683263390444,8.65490658537882e-31,2.15896644772275e-27,1.96284170928407e-27,"MYBL2/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/BUB1B/KIF23/UBE2C/DLGAP5/KIFC1/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/KIF4A/SMC4/KIF11/CDK1/TPX2/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/RCC1/KIF15/KIF2C/KIF18B/CDCA8/PSRC1/CENPI/MAD2L1/SPAG5/TTK/CDT1/NCAPD2/NEK2/RACGAP1/SMC2/XRCC3/SPC25/BUB1/SKA1/CENPK/BIRC5/KNSTRN/SKA3",55
"GO:0007059","chromosome segregation","80/802","498/21338",0.160642570281124,4.27405382127012,14.6099107658295,1.13763608789483e-28,1.8918888141691e-25,1.72002593078555e-25,"MKI67/MYBL2/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/ASPM/BUB1B/KIF23/UBE2C/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/KIF4A/TUBB/SMC4/HJURP/KIF11/CDK1/TPX2/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/SGO2/NCAPH/NCAPH2/RCC1/KIF15/FAM83D/KIF2C/KIF18B/CDCA8/AURKA/PSRC1/CENPI/KLHDC8B/TOP2A/MAD2L1/CDCA2/SPAG5/CCNB2/TTK/CDT1/NCAPD2/NEK2/RACGAP1/CCNE2/SMC2/XRCC3/SPC25/BUB1/CENPU/DIAPH3/STIL/SKA1/PSMC3IP/CENPK/CENPP/BIRC5/CENPM/KNSTRN/SKA3/REC8/ESCO2/BRIP1/SGO1/MAPRE3/SASS6",80
"GO:0000819","sister chromatid segregation","57/802","255/21338",0.223529411764706,5.94722018483204,15.7058360850464,3.33267989019324e-28,4.15668499304351e-25,3.77908359127438e-25,"MYBL2/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/BUB1B/KIF23/UBE2C/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/KIF4A/SMC4/KIF11/CDK1/TPX2/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/RCC1/KIF15/KIF2C/KIF18B/CDCA8/PSRC1/CENPI/TOP2A/MAD2L1/SPAG5/TTK/CDT1/NCAPD2/NEK2/RACGAP1/SMC2/XRCC3/SPC25/BUB1/SKA1/CENPK/BIRC5/KNSTRN/SKA3",57
"GO:0098813","nuclear chromosome segregation","67/802","372/21338",0.18010752688172,4.79193816533934,14.5804477486295,4.34810847487807e-27,4.33854263623334e-24,3.94442093015781e-24,"MYBL2/CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/ASPM/BUB1B/KIF23/UBE2C/DLGAP5/KIFC1/TACC3/CCNB1/AURKB/NUF2/CENPF/KIF14/KIF18A/ZWINT/KIF4A/SMC4/KIF11/CDK1/TPX2/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/RCC1/KIF15/FAM83D/KIF2C/KIF18B/CDCA8/AURKA/PSRC1/CENPI/KLHDC8B/TOP2A/MAD2L1/SPAG5/CCNB2/TTK/CDT1/NCAPD2/NEK2/RACGAP1/CCNE2/SMC2/XRCC3/SPC25/BUB1/SKA1/PSMC3IP/CENPK/BIRC5/KNSTRN/SKA3/REC8/BRIP1/SGO1",67
"GO:1905818","regulation of chromosome separation","33/802","79/21338",0.417721518987342,11.1138924839799,17.7973932684156,1.80430120534647e-26,1.50027645224559e-23,1.36398840242771e-23,"CDC20/SPDL1/PLK1/ESPL1/NCAPG/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/SMC4/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/CDCA8/MAD2L1/TTK/NCAPD2/SMC2/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",33
"GO:0051304","chromosome separation","33/802","88/21338",0.375,9.97724438902743,16.6763442623482,1.17594447222014e-24,8.3811242455804e-22,7.61976651247607e-22,"CDC20/SPDL1/PLK1/ESPL1/NCAPG/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/SMC4/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/CDCA8/MAD2L1/TTK/NCAPD2/SMC2/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",33
"GO:0007088","regulation of mitotic nuclear division","38/802","128/21338",0.296875,7.89865180798005,15.4701602014964,6.05731910757965e-24,3.77749562846436e-21,3.43434053086325e-21,"MKI67/CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/BORA/ANAPC11/KNL1/GEN1/PKMYT1/TRIP13/RCC1/CHEK1/KIF20B/CDCA8/AURKA/MAD2L1/CDCA2/TTK/NEK2/XRCC3/SPC25/BUB1/SKA1/PHIP/BIRC5/IL1B/SKA3/CDC25C",38
"GO:0051783","regulation of nuclear division","40/802","159/21338",0.251572327044025,6.69332956915886,14.2399379340988,3.63089001245113e-22,2.01272336356874e-19,1.82988363317566e-19,"MKI67/CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/BORA/ANAPC11/KNL1/GEN1/PKMYT1/TRIP13/RCC1/CHEK1/RAD51AP1/KIF20B/CDCA8/AURKA/MAD2L1/CDCA2/TTK/NEK2/XRCC3/SPC25/BUB1/SKA1/PHIP/BIRC5/WNT4/IL1B/SKA3/CDC25C",40
"GO:0051306","mitotic sister chromatid separation","27/802","66/21338",0.409090909090909,10.8842666062117,15.8930844671304,1.33420887950283e-21,6.6563680998396e-19,6.05169059134492e-19,"CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/NCAPH2/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",27
"GO:0051983","regulation of chromosome segregation","37/802","139/21338",0.266187050359712,7.08216867902187,14.2168737914396,1.60727205794169e-21,7.28970936097373e-19,6.6274978925079e-19,"CDC20/SPDL1/PLK1/ESPL1/NCAPG/CENPE/NDC80/BUB1B/UBE2C/DLGAP5/TACC3/CCNB1/AURKB/NUF2/CENPF/ZWINT/SMC4/CDK1/ANAPC11/KNL1/GEN1/NCAPG2/TRIP13/NCAPH/NCAPH2/KIF2C/CDCA8/MAD2L1/TTK/NCAPD2/SMC2/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",37
"GO:0010965","regulation of mitotic sister chromatid separation","26/802","63/21338",0.412698412698413,10.9802477932154,15.6773534418462,5.73691089014352e-21,2.38512070257717e-18,2.16845166891478e-18,"CDC20/SPDL1/PLK1/ESPL1/NDC80/BUB1B/UBE2C/DLGAP5/CCNB1/AURKB/NUF2/CENPF/ZWINT/ANAPC11/KNL1/GEN1/TRIP13/CDCA8/MAD2L1/TTK/XRCC3/SPC25/BUB1/SKA1/BIRC5/SKA3",26
"GO:0090068","positive regulation of cell cycle process","51/802","306/21338",0.166666666666667,4.43433083956775,11.957998410655,2.47774627268994e-19,9.50882781111547e-17,8.64502727855948e-17,"RRM2/CDC20/ESPL1/NCAPG/NDC80/DBF4/KIF23/UBE2C/DLGAP5/CCNB1/AURKB/KIF14/SMC4/CIT/CDK1/ANAPC11/KNL1/GEN1/NCAPG2/NCAPH/NCAPH2/CHEK1/RAD51AP1/EZH2/FAM83D/KIF20B/CDCA8/AURKA/MAD2L1/SPAG5/NCAPD2/RACGAP1/CCNE2/SMC2/XRCC3/POC1A/BUB1/STIL/SKA1/E2F8/PLK4/PHIP/ATAD5/BIRC5/WNT4/IL1B/E2F7/SKA3/CDC25C/SASS6/WEE1",51
